loss,status,keep_last_percent,navg,n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf
0.5241,ok,25.0,340.0,350.0,30.0,0.5,26.0,13.0
0.538,ok,75.0,380.0,250.0,15.0,sqrt,30.0,5.0
0.538,ok,30.0,20.0,200.0,30.0,auto,32.0,8.0
0.5495,ok,10.0,160.0,350.0,15.0,auto,32.0,19.0
1000000.0,ok,50.0,280.0,300.0,,,20.0,18.0
0.53575,ok,30.0,240.0,100.0,15.0,auto,28.0,17.0
1000000.0,ok,10.0,280.0,300.0,10.0,auto,8.0,11.0
0.5288999999999999,ok,15.0,100.0,300.0,10.0,0.5,14.0,14.0
0.5287,ok,35.0,220.0,350.0,,0.5,42.0,9.0
0.5436,ok,15.0,240.0,150.0,20.0,auto,12.0,2.0
0.5286,ok,40.0,320.0,300.0,10.0,sqrt,10.0,15.0
0.5388,ok,25.0,160.0,400.0,15.0,0.5,18.0,9.0
0.5526,ok,70.0,180.0,250.0,30.0,auto,12.0,11.0
0.5468500000000001,ok,85.0,220.0,100.0,20.0,0.5,10.0,10.0
0.5237499999999999,ok,40.0,320.0,100.0,15.0,sqrt,32.0,13.0
0.5445500000000001,ok,25.0,40.0,400.0,15.0,sqrt,24.0,3.0
0.5351,ok,45.0,300.0,200.0,20.0,sqrt,14.0,16.0
0.5387,ok,70.0,80.0,150.0,10.0,log2,2.0,12.0
0.55145,ok,60.0,80.0,450.0,15.0,auto,18.0,19.0
0.52605,ok,80.0,20.0,400.0,20.0,0.5,16.0,12.0
0.5277000000000001,ok,95.0,380.0,500.0,30.0,log2,40.0,14.0
1000000.0,ok,60.0,340.0,50.0,25.0,,50.0,6.0
1000000.0,ok,20.0,400.0,500.0,25.0,sqrt,38.0,13.0
0.5344,ok,40.0,360.0,50.0,30.0,log2,24.0,7.0
0.5186,ok,55.0,340.0,350.0,30.0,0.5,36.0,16.0
1000000.0,ok,45.0,280.0,450.0,,,48.0,13.0
0.5380499999999999,ok,35.0,400.0,150.0,30.0,sqrt,24.0,15.0
0.5257499999999999,ok,20.0,320.0,200.0,25.0,0.5,46.0,20.0
0.5407500000000001,ok,55.0,360.0,450.0,15.0,sqrt,34.0,4.0
1000000.0,ok,60.0,320.0,250.0,30.0,0.5,44.0,17.0
0.53855,ok,100.0,260.0,350.0,30.0,sqrt,38.0,16.0
0.5268,ok,70.0,380.0,100.0,15.0,log2,36.0,18.0
1000000.0,ok,90.0,360.0,250.0,30.0,,30.0,20.0
0.53145,ok,55.0,140.0,200.0,,0.5,28.0,15.0
0.5517,ok,50.0,200.0,400.0,15.0,sqrt,34.0,8.0
0.52105,ok,65.0,300.0,350.0,25.0,0.5,32.0,18.0
1000000.0,ok,5.0,340.0,350.0,15.0,,28.0,14.0
0.5394,ok,80.0,260.0,300.0,30.0,sqrt,42.0,12.0
0.5517,ok,45.0,260.0,50.0,,0.5,22.0,10.0
0.5184,ok,30.0,300.0,100.0,10.0,log2,36.0,17.0
0.5395000000000001,ok,35.0,400.0,250.0,15.0,sqrt,44.0,19.0
0.5236000000000001,ok,65.0,240.0,350.0,25.0,0.5,32.0,18.0
0.5332,ok,75.0,300.0,300.0,25.0,0.5,26.0,20.0
0.5301,ok,65.0,140.0,450.0,25.0,0.5,50.0,16.0
0.5224,ok,30.0,200.0,150.0,10.0,log2,4.0,17.0
1000000.0,ok,5.0,220.0,400.0,10.0,log2,40.0,16.0
1000000.0,ok,15.0,340.0,200.0,10.0,log2,46.0,19.0
0.5241,ok,30.0,280.0,250.0,10.0,log2,36.0,11.0
1000000.0,ok,10.0,180.0,300.0,10.0,auto,40.0,14.0
0.5241,ok,50.0,300.0,150.0,20.0,log2,20.0,17.0
0.5241,ok,20.0,240.0,100.0,10.0,auto,30.0,15.0
0.5407500000000001,ok,25.0,120.0,500.0,30.0,log2,36.0,8.0
1000000.0,ok,35.0,380.0,400.0,10.0,,48.0,10.0
0.5305500000000001,ok,40.0,180.0,350.0,20.0,log2,42.0,19.0
0.5305500000000001,ok,30.0,340.0,300.0,,auto,28.0,9.0
0.5503,ok,55.0,40.0,150.0,30.0,0.5,22.0,6.0
1000000.0,ok,15.0,360.0,200.0,10.0,log2,34.0,12.0
1000000.0,ok,45.0,220.0,50.0,30.0,,44.0,13.0
0.5439,ok,75.0,280.0,100.0,20.0,0.5,38.0,1.0
0.5307499999999999,ok,85.0,320.0,450.0,10.0,auto,48.0,17.0
0.5316000000000001,ok,50.0,260.0,250.0,,log2,16.0,15.0
0.531,ok,25.0,280.0,400.0,30.0,0.5,6.0,14.0
0.52365,ok,40.0,380.0,200.0,30.0,log2,30.0,20.0
1000000.0,ok,60.0,240.0,500.0,10.0,,26.0,19.0
1000000.0,ok,10.0,400.0,300.0,20.0,0.5,42.0,13.0
0.52305,ok,70.0,300.0,350.0,25.0,0.5,32.0,18.0
0.5202,ok,65.0,320.0,350.0,25.0,0.5,34.0,18.0
0.52615,ok,85.0,360.0,450.0,25.0,0.5,32.0,16.0
0.52615,ok,75.0,300.0,400.0,25.0,0.5,38.0,18.0
0.5149,ok,55.0,340.0,350.0,25.0,0.5,24.0,17.0
0.5149,ok,65.0,380.0,300.0,25.0,0.5,34.0,15.0
0.52745,ok,60.0,320.0,400.0,30.0,0.5,36.0,20.0
0.52745,ok,80.0,320.0,350.0,,0.5,46.0,16.0
1000000.0,ok,95.0,260.0,250.0,25.0,auto,40.0,18.0
0.5238,ok,45.0,340.0,300.0,25.0,0.5,22.0,15.0
0.53935,ok,55.0,380.0,250.0,25.0,log2,24.0,11.0
1000000.0,ok,50.0,360.0,300.0,25.0,,12.0,17.0
0.53805,ok,70.0,400.0,200.0,25.0,0.5,18.0,14.0
0.5407500000000001,ok,40.0,380.0,300.0,25.0,sqrt,20.0,13.0
0.5376000000000001,ok,60.0,280.0,250.0,25.0,log2,30.0,12.0
0.5285,ok,90.0,400.0,300.0,25.0,0.5,28.0,14.0
0.5431,ok,65.0,160.0,400.0,10.0,auto,16.0,17.0
0.5381499999999999,ok,75.0,340.0,350.0,15.0,log2,22.0,19.0
0.5366500000000001,ok,20.0,80.0,50.0,25.0,0.5,28.0,16.0
1000000.0,ok,35.0,0.0,150.0,10.0,sqrt,26.0,15.0
1000000.0,ok,50.0,360.0,350.0,20.0,,14.0,10.0
0.5306,ok,55.0,200.0,450.0,,0.5,34.0,11.0
0.5327999999999999,ok,45.0,240.0,200.0,25.0,log2,20.0,9.0
0.5202,ok,30.0,220.0,100.0,15.0,0.5,24.0,17.0
0.54125,ok,70.0,300.0,300.0,10.0,auto,30.0,7.0
0.5315000000000001,ok,80.0,340.0,250.0,25.0,log2,8.0,20.0
0.52535,ok,40.0,380.0,350.0,10.0,sqrt,38.0,3.0
0.53665,ok,60.0,360.0,250.0,20.0,0.5,18.0,12.0
1000000.0,ok,55.0,260.0,450.0,,,40.0,15.0
0.5389999999999999,ok,25.0,320.0,400.0,25.0,log2,24.0,14.0
0.5280499999999999,ok,35.0,400.0,200.0,10.0,0.5,34.0,17.0
0.5382500000000001,ok,65.0,280.0,100.0,15.0,log2,26.0,13.0
0.54535,ok,100.0,360.0,500.0,25.0,auto,44.0,19.0
0.52335,ok,90.0,180.0,300.0,10.0,0.5,32.0,15.0
0.54365,ok,45.0,140.0,150.0,25.0,sqrt,36.0,19.0
0.5206999999999999,ok,50.0,300.0,350.0,20.0,0.5,50.0,16.0
1000000.0,ok,30.0,380.0,250.0,,,40.0,18.0
0.53195,ok,75.0,340.0,200.0,25.0,log2,42.0,16.0
0.5266500000000001,ok,95.0,220.0,300.0,10.0,0.5,38.0,17.0
1000000.0,ok,15.0,160.0,400.0,15.0,0.5,30.0,5.0
0.53695,ok,40.0,100.0,400.0,25.0,log2,16.0,12.0
0.5417000000000001,ok,80.0,320.0,250.0,10.0,auto,12.0,20.0
1000000.0,ok,5.0,260.0,300.0,20.0,sqrt,28.0,10.0
0.5246999999999999,ok,65.0,280.0,50.0,25.0,0.5,10.0,18.0
1000000.0,ok,85.0,380.0,350.0,,,36.0,11.0
0.53975,ok,10.0,40.0,350.0,25.0,log2,46.0,14.0
0.5258,ok,70.0,400.0,150.0,10.0,0.5,24.0,13.0
1000000.0,ok,20.0,360.0,450.0,15.0,0.5,32.0,19.0
0.5386500000000001,ok,35.0,300.0,300.0,25.0,log2,30.0,15.0
0.54145,ok,60.0,240.0,400.0,30.0,auto,48.0,20.0
0.5265500000000001,ok,50.0,340.0,200.0,10.0,sqrt,22.0,9.0
0.5265500000000001,ok,45.0,400.0,50.0,25.0,0.5,2.0,16.0
1000000.0,ok,55.0,200.0,250.0,20.0,,20.0,1.0
0.5213,ok,25.0,320.0,100.0,,log2,34.0,12.0
0.51795,ok,75.0,380.0,350.0,25.0,0.5,14.0,18.0
0.51795,ok,35.0,340.0,300.0,10.0,0.5,38.0,17.0
0.5443499999999999,ok,70.0,260.0,450.0,15.0,log2,44.0,8.0
0.5365500000000001,ok,65.0,360.0,250.0,30.0,auto,26.0,13.0
0.533,ok,55.0,240.0,500.0,25.0,0.5,28.0,14.0
0.52695,ok,45.0,120.0,300.0,10.0,0.5,38.0,17.0
0.5216,ok,40.0,60.0,400.0,25.0,0.5,42.0,19.0
0.5244,ok,35.0,340.0,300.0,20.0,0.5,40.0,15.0
0.5199499999999999,ok,50.0,280.0,350.0,10.0,0.5,44.0,16.0
0.51985,ok,60.0,380.0,350.0,,0.5,18.0,18.0
0.5447,ok,80.0,380.0,400.0,25.0,0.5,6.0,7.0
0.52925,ok,90.0,360.0,350.0,25.0,0.5,14.0,19.0
0.52625,ok,85.0,320.0,250.0,30.0,0.5,32.0,16.0
1000000.0,ok,20.0,400.0,300.0,15.0,0.5,46.0,20.0
0.5289999999999999,ok,95.0,380.0,450.0,25.0,0.5,4.0,18.0
0.54525,ok,75.0,400.0,350.0,25.0,sqrt,10.0,18.0
1000000.0,ok,35.0,20.0,200.0,10.0,,28.0,11.0
0.5219499999999999,ok,30.0,220.0,250.0,20.0,0.5,26.0,15.0
0.517,ok,40.0,340.0,300.0,10.0,0.5,34.0,14.0
0.5437000000000001,ok,70.0,280.0,300.0,,0.5,22.0,2.0
0.5443,ok,65.0,200.0,400.0,30.0,auto,36.0,17.0
0.5331,ok,45.0,320.0,250.0,15.0,sqrt,38.0,13.0
0.5201,ok,80.0,380.0,450.0,25.0,0.5,12.0,20.0
1000000.0,ok,60.0,300.0,350.0,10.0,,30.0,14.0
0.5314,ok,15.0,180.0,500.0,25.0,0.5,34.0,12.0
0.53435,ok,55.0,360.0,200.0,10.0,0.5,18.0,10.0
0.5189999999999999,ok,40.0,340.0,300.0,10.0,0.5,32.0,14.0
0.5186,ok,30.0,340.0,300.0,10.0,0.5,34.0,15.0
0.5228,ok,25.0,320.0,300.0,10.0,0.5,42.0,17.0
0.52365,ok,75.0,400.0,350.0,25.0,0.5,8.0,13.0
0.52295,ok,50.0,300.0,250.0,10.0,0.5,36.0,16.0
0.5344500000000001,ok,25.0,360.0,300.0,10.0,0.5,24.0,14.0
0.5278,ok,45.0,340.0,350.0,10.0,0.5,40.0,15.0
0.5138,ok,40.0,300.0,300.0,10.0,0.5,38.0,16.0
0.52345,ok,65.0,360.0,400.0,25.0,0.5,16.0,18.0
0.5223,ok,55.0,320.0,250.0,10.0,0.5,48.0,11.0
0.5408999999999999,ok,40.0,260.0,350.0,10.0,auto,34.0,17.0
0.5257000000000001,ok,35.0,340.0,300.0,10.0,0.5,28.0,12.0
0.52475,ok,50.0,300.0,200.0,20.0,0.5,32.0,16.0
0.52895,ok,40.0,280.0,250.0,,sqrt,42.0,14.0
1000000.0,ok,60.0,320.0,350.0,10.0,,40.0,13.0
0.5224,ok,50.0,300.0,300.0,15.0,0.5,50.0,15.0
0.52155,ok,45.0,240.0,400.0,30.0,0.5,30.0,16.0
0.52905,ok,40.0,260.0,250.0,10.0,0.5,26.0,12.0
0.5368999999999999,ok,60.0,280.0,350.0,25.0,auto,36.0,15.0
0.52745,ok,55.0,400.0,300.0,20.0,0.5,38.0,14.0
0.53605,ok,30.0,360.0,200.0,10.0,sqrt,30.0,13.0
0.51745,ok,45.0,380.0,350.0,25.0,0.5,24.0,16.0
1000000.0,ok,50.0,320.0,250.0,10.0,,20.0,13.0
0.52945,ok,70.0,300.0,400.0,,0.5,46.0,9.0
0.5212,ok,55.0,380.0,300.0,30.0,0.5,32.0,17.0
0.52905,ok,65.0,360.0,350.0,25.0,0.5,28.0,19.0
0.5331,ok,35.0,400.0,300.0,25.0,auto,36.0,8.0
0.5206999999999999,ok,45.0,340.0,400.0,15.0,0.5,34.0,19.0
0.53285,ok,65.0,260.0,150.0,10.0,sqrt,40.0,15.0
1000000.0,ok,30.0,220.0,250.0,20.0,,44.0,14.0
0.53145,ok,25.0,340.0,300.0,25.0,0.5,22.0,10.0
0.5317,ok,60.0,280.0,350.0,,0.5,26.0,12.0
0.53125,ok,55.0,240.0,300.0,10.0,0.5,30.0,11.0
0.528,ok,50.0,320.0,250.0,25.0,auto,38.0,15.0
0.53895,ok,40.0,160.0,200.0,15.0,0.5,42.0,16.0
1000000.0,ok,20.0,400.0,450.0,30.0,0.5,34.0,18.0
0.51955,ok,70.0,380.0,350.0,10.0,sqrt,32.0,18.0
1000000.0,ok,60.0,120.0,400.0,25.0,,28.0,17.0
0.51955,ok,35.0,180.0,250.0,10.0,0.5,24.0,20.0
0.52715,ok,45.0,300.0,300.0,20.0,0.5,36.0,14.0
0.52,ok,40.0,360.0,350.0,25.0,0.5,20.0,16.0
1000000.0,ok,10.0,280.0,200.0,,0.5,22.0,11.0
0.5288,ok,55.0,340.0,300.0,10.0,auto,30.0,17.0
0.5286,ok,50.0,320.0,350.0,25.0,0.5,38.0,12.0
1000000.0,ok,20.0,360.0,400.0,15.0,sqrt,48.0,15.0
0.5286,ok,30.0,240.0,250.0,30.0,0.5,44.0,13.0
1000000.0,ok,65.0,260.0,150.0,10.0,,34.0,6.0
0.5253,ok,70.0,380.0,300.0,25.0,0.5,36.0,18.0
0.5442,ok,60.0,400.0,200.0,10.0,0.5,26.0,5.0
0.519,ok,50.0,300.0,250.0,20.0,0.5,42.0,16.0
0.55165,ok,45.0,200.0,350.0,25.0,auto,32.0,19.0
0.5396000000000001,ok,75.0,340.0,400.0,,log2,18.0,9.0
0.5236000000000001,ok,25.0,320.0,300.0,10.0,0.5,46.0,14.0
0.53815,ok,40.0,380.0,250.0,25.0,sqrt,28.0,13.0
0.52945,ok,55.0,140.0,300.0,30.0,0.5,40.0,17.0
1000000.0,ok,85.0,360.0,350.0,15.0,,50.0,15.0
1000000.0,ok,35.0,0.0,450.0,10.0,0.5,24.0,19.0
0.52505,ok,15.0,220.0,400.0,25.0,0.5,20.0,16.0
0.5314,ok,45.0,280.0,300.0,10.0,0.5,38.0,11.0
0.53955,ok,60.0,320.0,350.0,20.0,log2,32.0,14.0
0.53955,ok,80.0,300.0,250.0,25.0,auto,26.0,20.0
0.52925,ok,50.0,340.0,300.0,10.0,0.5,34.0,10.0
0.53,ok,30.0,400.0,200.0,,sqrt,30.0,12.0
0.54175,ok,65.0,60.0,350.0,25.0,0.5,22.0,4.0
1000000.0,ok,70.0,100.0,500.0,30.0,,16.0,15.0
0.53615,ok,100.0,300.0,400.0,10.0,0.5,40.0,13.0
0.5205,ok,35.0,360.0,300.0,15.0,0.5,42.0,16.0
0.523,ok,45.0,400.0,350.0,25.0,0.5,36.0,17.0
0.53925,ok,40.0,260.0,250.0,10.0,auto,14.0,18.0
0.53285,ok,55.0,340.0,350.0,25.0,log2,28.0,15.0
0.5223500000000001,ok,30.0,280.0,250.0,20.0,0.5,44.0,14.0
1000000.0,ok,5.0,380.0,450.0,10.0,sqrt,24.0,20.0
0.5246500000000001,ok,75.0,240.0,300.0,25.0,0.5,32.0,12.0
1000000.0,ok,65.0,300.0,250.0,,,36.0,17.0
0.52575,ok,50.0,220.0,150.0,30.0,0.5,40.0,19.0
0.52855,ok,90.0,360.0,400.0,10.0,0.5,38.0,13.0
0.5244500000000001,ok,20.0,320.0,200.0,15.0,0.5,30.0,16.0
0.5359499999999999,ok,35.0,340.0,300.0,25.0,log2,28.0,18.0
0.5408000000000001,ok,55.0,380.0,350.0,10.0,auto,34.0,9.0
0.5323,ok,60.0,160.0,400.0,25.0,0.5,30.0,14.0
0.54555,ok,40.0,400.0,350.0,20.0,sqrt,20.0,17.0
0.53735,ok,70.0,240.0,300.0,10.0,0.5,38.0,8.0
1000000.0,ok,25.0,320.0,250.0,,,26.0,7.0
0.5221499999999999,ok,45.0,360.0,400.0,25.0,0.5,32.0,15.0
0.53375,ok,50.0,260.0,200.0,30.0,0.5,42.0,11.0
0.5241,ok,75.0,340.0,300.0,10.0,0.5,22.0,19.0
0.5398000000000001,ok,85.0,300.0,250.0,15.0,log2,36.0,10.0
0.5455000000000001,ok,60.0,280.0,350.0,25.0,auto,34.0,18.0
0.5119499999999999,ok,40.0,380.0,300.0,10.0,0.5,46.0,16.0
0.54915,ok,45.0,320.0,350.0,25.0,sqrt,44.0,15.0
0.5219,ok,35.0,400.0,450.0,20.0,0.5,40.0,14.0
1000000.0,ok,55.0,260.0,150.0,10.0,,28.0,17.0
0.5260499999999999,ok,65.0,360.0,250.0,,0.5,48.0,13.0
0.52305,ok,80.0,380.0,300.0,25.0,0.5,46.0,20.0
0.5334,ok,95.0,380.0,500.0,10.0,0.5,48.0,18.0
1000000.0,ok,10.0,400.0,400.0,30.0,log2,50.0,2.0
0.5334,ok,40.0,380.0,350.0,15.0,auto,46.0,16.0
0.52115,ok,25.0,400.0,200.0,25.0,0.5,44.0,19.0
0.5225500000000001,ok,50.0,360.0,300.0,10.0,0.5,48.0,20.0
0.5355,ok,30.0,340.0,250.0,25.0,sqrt,50.0,16.0
0.52835,ok,70.0,360.0,300.0,10.0,0.5,48.0,17.0
1000000.0,ok,60.0,280.0,350.0,20.0,,42.0,18.0
0.5236000000000001,ok,55.0,180.0,450.0,,0.5,46.0,19.0
0.5274000000000001,ok,40.0,120.0,400.0,25.0,0.5,18.0,16.0
0.53885,ok,15.0,20.0,250.0,10.0,log2,42.0,20.0
0.53885,ok,20.0,200.0,200.0,30.0,0.5,46.0,19.0
0.53335,ok,50.0,380.0,300.0,15.0,auto,50.0,15.0
0.5158,ok,45.0,380.0,350.0,25.0,0.5,44.0,18.0
0.5421,ok,65.0,300.0,350.0,10.0,sqrt,24.0,17.0
0.5182,ok,40.0,320.0,300.0,25.0,0.5,38.0,20.0
1000000.0,ok,75.0,400.0,250.0,10.0,,16.0,15.0
0.52095,ok,30.0,340.0,400.0,20.0,0.5,40.0,18.0
0.52095,ok,45.0,380.0,350.0,25.0,0.5,44.0,17.0
0.51535,ok,35.0,380.0,350.0,25.0,0.5,44.0,18.0
0.51715,ok,45.0,360.0,350.0,25.0,0.5,42.0,16.0
0.52905,ok,55.0,400.0,300.0,25.0,0.5,50.0,19.0
0.5202500000000001,ok,50.0,360.0,350.0,25.0,0.5,40.0,17.0
0.5151,ok,25.0,400.0,300.0,25.0,0.5,46.0,16.0
0.5199,ok,35.0,380.0,350.0,25.0,0.5,48.0,18.0
0.5168,ok,30.0,340.0,400.0,25.0,0.5,46.0,20.0
0.5168,ok,35.0,360.0,300.0,25.0,0.5,40.0,18.0
1000000.0,ok,15.0,400.0,300.0,25.0,0.5,48.0,16.0
0.5255000000000001,ok,25.0,400.0,250.0,25.0,0.5,50.0,14.0
1000000.0,ok,15.0,340.0,300.0,25.0,0.5,46.0,15.0
1000000.0,ok,20.0,400.0,300.0,25.0,0.5,46.0,17.0
1000000.0,ok,5.0,360.0,250.0,25.0,0.5,42.0,16.0
0.5155000000000001,ok,25.0,380.0,300.0,25.0,0.5,38.0,15.0
0.5155000000000001,ok,20.0,320.0,250.0,,0.5,36.0,13.0
0.52325,ok,40.0,400.0,300.0,10.0,0.5,44.0,14.0
0.53415,ok,30.0,360.0,300.0,25.0,log2,12.0,16.0
1000000.0,ok,10.0,320.0,250.0,30.0,0.5,50.0,16.0
1000000.0,ok,15.0,380.0,300.0,15.0,auto,22.0,15.0
0.52285,ok,30.0,340.0,250.0,10.0,0.5,48.0,17.0
0.53965,ok,60.0,300.0,350.0,25.0,sqrt,42.0,14.0
0.5172,ok,25.0,400.0,300.0,25.0,0.5,38.0,13.0
1000000.0,ok,35.0,320.0,350.0,10.0,,26.0,12.0
1000000.0,ok,10.0,380.0,200.0,20.0,0.5,44.0,17.0
1000000.0,ok,20.0,360.0,250.0,,0.5,40.0,19.0
0.5287999999999999,ok,50.0,340.0,300.0,25.0,0.5,20.0,14.0
0.5377000000000001,ok,55.0,100.0,400.0,10.0,log2,36.0,16.0
0.53415,ok,25.0,400.0,250.0,30.0,auto,32.0,15.0
0.5263,ok,60.0,360.0,350.0,25.0,0.5,42.0,15.0
0.51175,ok,40.0,300.0,300.0,15.0,0.5,46.0,17.0
0.55095,ok,65.0,60.0,350.0,10.0,sqrt,10.0,18.0
0.52115,ok,45.0,380.0,200.0,25.0,0.5,34.0,13.0
1000000.0,ok,70.0,320.0,300.0,10.0,,28.0,19.0
1000000.0,ok,5.0,340.0,250.0,20.0,0.5,24.0,16.0
0.5201,ok,35.0,360.0,350.0,25.0,0.5,30.0,17.0
0.5201,ok,40.0,260.0,300.0,15.0,0.5,48.0,20.0
0.5421,ok,45.0,280.0,400.0,15.0,log2,18.0,18.0
0.5467,ok,50.0,220.0,350.0,15.0,auto,44.0,17.0
0.52145,ok,40.0,280.0,300.0,15.0,0.5,40.0,19.0
0.52145,ok,55.0,300.0,250.0,15.0,0.5,26.0,19.0
0.5171,ok,50.0,260.0,350.0,15.0,0.5,4.0,18.0
0.5367500000000001,ok,35.0,240.0,300.0,15.0,sqrt,38.0,17.0
1000000.0,ok,45.0,280.0,250.0,15.0,,50.0,12.0
0.53135,ok,65.0,300.0,200.0,15.0,0.5,36.0,15.0
0.5242,ok,40.0,200.0,400.0,15.0,0.5,32.0,14.0
0.54405,ok,60.0,300.0,350.0,15.0,0.5,30.0,16.0
0.5242,ok,55.0,280.0,300.0,15.0,log2,34.0,4.0
0.53845,ok,45.0,220.0,300.0,15.0,auto,48.0,6.0
0.52745,ok,50.0,240.0,400.0,15.0,0.5,38.0,17.0
0.5405,ok,30.0,300.0,250.0,15.0,0.5,22.0,3.0
0.5464500000000001,ok,40.0,320.0,350.0,,sqrt,42.0,18.0
0.5279,ok,80.0,260.0,300.0,10.0,0.5,46.0,20.0
1000000.0,ok,60.0,80.0,250.0,15.0,,20.0,13.0
0.5246,ok,40.0,320.0,350.0,30.0,0.5,44.0,11.0
0.5246,ok,45.0,340.0,300.0,10.0,0.5,40.0,16.0
0.52305,ok,55.0,260.0,400.0,10.0,0.5,36.0,17.0
0.53345,ok,35.0,280.0,350.0,20.0,log2,50.0,15.0
0.5194,ok,70.0,240.0,250.0,15.0,0.5,32.0,20.0
0.5343,ok,50.0,300.0,200.0,,auto,24.0,19.0
0.5295000000000001,ok,55.0,320.0,300.0,10.0,0.5,28.0,14.0
0.5372,ok,65.0,340.0,200.0,10.0,sqrt,44.0,14.0
0.51885,ok,35.0,160.0,350.0,30.0,0.5,26.0,16.0
1000000.0,ok,30.0,180.0,300.0,15.0,,48.0,18.0
0.5308999999999999,ok,45.0,320.0,450.0,10.0,0.5,34.0,12.0
0.5193,ok,75.0,280.0,250.0,20.0,0.5,46.0,15.0
0.5293,ok,40.0,300.0,300.0,15.0,0.5,42.0,5.0
0.5397000000000001,ok,60.0,340.0,350.0,,log2,40.0,17.0
0.52705,ok,45.0,200.0,400.0,10.0,0.5,30.0,18.0
0.53535,ok,50.0,260.0,250.0,30.0,auto,18.0,15.0
0.5325,ok,65.0,140.0,300.0,10.0,0.5,38.0,19.0
0.5428999999999999,ok,55.0,360.0,350.0,15.0,sqrt,36.0,16.0
0.5165500000000001,ok,35.0,220.0,250.0,10.0,0.5,24.0,17.0
1000000.0,ok,50.0,240.0,300.0,20.0,,46.0,10.0
